site,month,month,date,time_start,time_end,dolphins_best,calves_best,every20mins,echo,bp,whistle,total,noise,fish calls,distance,season
Ashley2,December,12,12/19/17,13:28,13:36,1,0,13:40,0,0,0,0,1,0,1035.629916,Fall
Ashley2,January,1,1/11/18,8:51,9:19,3,1,9:00,7,0,0,7,0,0,203.1292279,Winter
Ashley2,January,1,1/25/18,8:39,8:49,2,0,8:40,0,0,0,0,0,0,1384.11309,Winter
Ashley2,January,1,1/25/18,9:05,9:10,2,0,9:00,0,0,0,0,0,0,626.408682,Winter
Ashley2,January,1,1/25/18,9:17,9:23,5,0,9:20,28,0,16,44,0,0,502.4161966,Winter
Ashley2,February,2,2/6/18,13:22,13:27,2,0,13:20,0,0,0,0,1,0,548.2571124,Winter
Ashley2,February,2,2/15/18,13:18,13:29,2,0,13:20,2,0,0,2,1,0,1865.94,Winter
Ashley2,March,3,3/6/18,12:52,12:55,1,0,13:00,0,0,0,0,0,0,1555.515294,Winter
Ashley2,March,3,3/27/18,10:07,10:23,1,0,10:00,0,0,0,0,0,0,,Spring
Ashley2,April,4,4/26/18,9:33,9:48,1,0,9:40,0,0,0,0,0,2,1368.833007,Spring
Ashley2,May,5,5/8/18,11:44,11:49,2,0,11:40,0,0,0,0,0,2,768.2800486,Spring
Ashley2,May,5,5/8/18,11:57,12:04,4,2,12:00,0,0,0,0,0,2,191.1918976,Spring
Ashley2,June,6,6/21/18,15:10,15:21,5,1,15:20,0,0,0,0,1,2,505.5342646,Summer
Ashley2,July,7,7/17/18,13:12,13:20,1,0,13:20,0,0,0,0,1,0,1545.123932,Summer
Ashley2,August,8,8/7/18,10:41,11:10,4,1,11:00,0,0,0,0,0,2,359.3343816,Summer
Ashley2,August,8,8/21/18,11:15,11:25,6,2,11:20,1,4,0,5,1,2,631.8250297,Summer
Ashley2,September,9,9/19/18,8:49,8:57,2,0,9:00,3,0,0,3,0,0,539.5460524,Summer
Ashley2,September,9,9/26/18,12:50,12:58,2,0,13:00,0,0,0,0,1,0,1134.858657,Fall
Ashley2,October,10,10/3/18,12:29,12:31,1,0,12:20,1,0,0,1,0,2,1622.276241,Fall
Ashley2,October,10,10/17/18,13:38,13:43,1,0,13:40,0,0,0,0,1,0,1302.587618,Fall
Ashley2,November,11,11/28/18,11:10,11:25,2,0,11:20,3,0,0,3,0,0,391.8686194,Fall
Ashley2,December,12,12/12/18,14:24,14:33,1,0,14:20,0,0,0,0,1,0,354.769573,Fall
Ashley2,January,1,1/25/19,9:17,9:56,4,1,9:20,0,0,0,0,0,0,1244.659342,Winter
Ashley2,February,2,2/5/19,14:04,14:14,3,0,14:00,0,0,0,0,1,0,1386.606225,Winter
Ashley2,February,2,2/5/19,14:26,14:39,1,0,14:40,0,0,0,0,0,0,586.347276,Winter
Ashley2,March,3,3/5/19,9:40,10:03,2,0,10:00,1,0,1,2,0,0,1299.218872,Winter
Ashley2,March,3,3/21/19,13:22,13:35,2,0,13:20,0,0,0,0,0,0,1367.801817,Spring
Ashley2,March,3,3/21/19,14:04,,2,0,14:00,1,0,0,1,0,0,598.1797435,Spring
Ashley2,April,4,4/4/19,9:43,10:07,4,0,10:00,0,0,0,0,0,0,294.2039286,Spring
Ashley2,April,4,4/16/19,11:48,11:53,2,0,12:00,0,0,0,0,1,0,723.4338442,Spring
Aquarium,December,12,12/19/17,9:28,9:36,2,1,9:40,3,0,0,3,1,0,704.7781709,Fall
Aquarium,December,12,12/19/17,9:51,,3,0,10:00,4,0,0,4,1,0,93.33981185,Fall
Aquarium,December,12,12/19/17,10:05,10:11,4,1,10:20,0,0,0,0,1,0,350.8289846,Fall
Aquarium,January,1,1/11/18,12:38,12:40,3,1,12:40,7,60,9,76,1,0,1009.171894,Winter
Aquarium,January,1,1/11/18,12:51,12:59,4,1,13:00,0,0,2,2,1,0,1006.52162,Winter
Aquarium,January,1,1/25/18,10:38,10:58,4,1,10:40,1,2,11,14,1,2,1269.712129,Winter
Aquarium,January,1,1/25/18,11:12,11:22,1,0,11:20,98,34,46,178,1,0,1389.378417,Winter
Aquarium,February,2,2/6/18,9:23,9:37,8,2,9:20,6,0,0,6,1,0,1557.420796,Winter
Aquarium,February,2,2/6/18,9:40,10:01,6,1,9:40,5,1,12,18,1,0,1185.269444,Winter
Aquarium,February,2,2/6/18,10:06,10:14,1,0,10:00,0,0,30,30,1,0,629.2202221,Winter
Aquarium,February,2,2/15/18,9:14,9:23,4,0,9:00,0,0,0,0,1,0,1445.053389,Winter
Aquarium,February,2,2/15/18,9:28,9:31,2,1,9:20,0,0,0,0,1,0,630.0624406,Winter
Aquarium,February,2,2/15/18,9:35,9:51,5,1,9:40,3,2,2,7,1,0,426.6803826,Winter
Aquarium,February,2,2/15/18,9:56,10:03,2,0,10:00,0,0,0,0,1,0,369.7245738,Winter
Aquarium,March,3,3/6/18,9:15,9:26,4,0,9:20,2,0,6,8,1,0,223.536789,Winter
Aquarium,March,3,3/6/18,9:30,10:04,16,3,10:00,0,0,3,3,1,0,889.4774887,Winter
Aquarium,March,3,3/27/18,14:48,15:06,4,2,15:00,0,0,0,0,1,0,867.4192402,Spring
Aquarium,April,4,4/19/18,9:16,9:23,1,0,9:20,25,7,2,34,1,2,1191.747416,Spring
Aquarium,April,4,4/19/18,10:04,10:14,5,0,10:00,10,0,0,10,1,0,540.002742,Spring
Aquarium,April,4,4/26/18,10:52,11:02,1,0,11:00,0,0,0,0,1,0,1114.612858,Spring
Aquarium,April,4,4/26/18,11:06,11:29,10,2,11:20,15,0,0,15,1,2,1243.776812,Spring
Aquarium,May,5,5/8/18,10:34,10:43,3,0,10:40,0,0,0,0,1,2,824.3132355,Spring
Aquarium,May,5,5/8/18,11:00,11:08,3,0,11:00,0,0,0,0,1,2,1070.67739,Spring
Aquarium,May,5,5/8/18,11:14,11:18,2,1,11:20,0,0,0,0,1,2,892.2883758,Spring
Aquarium,June,6,6/21/18,11:41,11:55,7,1,11:40,22,1,0,23,1,0,894.3728814,Summer
Aquarium,June,6,6/21/18,12:11,12:14,1,0,12:00,0,0,0,0,1,0,553.2000923,Summer
Aquarium,June,6,6/21/18,12:18,12:20,2,0,12:20,15,5,0,20,1,2,662.8529099,Summer
Aquarium,July,7,7/3/18,11:08,11:21,14,2,11:20,0,0,0,0,1,2,627.8434911,Summer
Aquarium,July,7,7/17/18,11:05,11:20,3,1,11:20,3,0,0,3,1,2,781.5410925,Summer
Aquarium,July,7,7/17/18,11:34,11:50,2,0,11:40,7,0,0,7,1,0,965.4437909,Summer
Aquarium,August,8,8/7/18,13:38,13:46,5,2,13:40,9,0,1,10,1,2,793.3784183,Summer
Aquarium,August,8,8/21/18,13:57,14:01,1,0,14:00,25,0,0,25,1,0,947.7829017,Summer
Aquarium,August,8,8/21/18,14:06,14:16,4,0,14:20,11,1,0,12,1,2,207.9321137,Summer
Aquarium,September,9,9/19/18,12:51,13:02,5,0,13:00,0,0,0,0,1,0,482.570852,Summer
Aquarium,September,9,9/19/18,13:18,13:24,3,0,13:20,0,0,0,0,1,0,1507.150051,Summer
Aquarium,September,9,9/26/18,10:36,10:57,8,1,10:40,15,2,0,17,1,0,581.9143817,Fall
Aquarium,September,9,9/26/18,11:03,11:04,2,1,11:00,4,0,0,4,1,0,471.568367,Fall
Aquarium,September,9,9/26/18,11:12,11:22,2,1,11:20,18,3,0,21,1,2,579.6591028,Fall
Aquarium,October,10,10/3/18,9:24,9:34,4,2,9:20,30,8,0,38,1,2,174.1733706,Fall
Aquarium,October,10,10/3/18,9:58,10:05,5,2,10:00,19,0,0,19,1,0,1489.558633,Fall
Aquarium,October,10,10/17/18,9:42,9:44,2,0,9:40,4,0,0,4,1,0,377.8381408,Fall
Aquarium,October,10,10/17/18,10:04,10:22,6,2,10:20,12,1,0,13,1,0,786.1772834,Fall
Aquarium,October,10,10/31/18,8:26,8:34,2,1,8:20,4,0,0,4,1,2,1045.374362,Fall
Aquarium,October,10,10/31/18,8:41,8:50,2,1,8:40,7,5,0,12,1,0,653.9977755,Fall
Aquarium,October,10,10/31/18,8:53,8:58,2,1,9:00,0,0,0,0,1,0,1359.118602,Fall
Aquarium,October,10,10/31/18,9:03,9:12,12,2,9:00,0,0,0,0,1,0,1019.04011,Fall
Aquarium,October,10,10/31/18,9:15,9:24,6,2,9:20,21,2,3,26,1,0,524.3123938,Fall
Aquarium,November,11,11/28/18,14:11,14:22,5,2,14:20,37,6,0,43,1,0,676.4372196,Fall
Aquarium,November,11,11/28/18,14:31,14:42,3,1,14:40,29,9,4,42,1,0,5.725929561,Fall
Aquarium,November,11,11/28/18,14:47,14:50,1,0,15:00,22,0,0,22,1,0,5.725929561,Fall
Aquarium,December,12,12/7/18,9:17,,7,2,9:20,5,0,0,5,1,0,1521.361905,Fall
Aquarium,December,12,12/7/18,9:49,9:55,2,1,10:00,0,0,0,0,1,0,885.9187012,Fall
Aquarium,December,12,12/7/18,10:06,10:24,2,1,10:20,34,6,0,40,1,0,118.5240628,Fall
Aquarium,December,12,12/12/18,10:37,10:49,2,0,10:40,0,0,0,0,1,0,1016.524879,Fall
Aquarium,December,12,12/12/18,11:12,,2,1,11:20,0,0,0,0,1,0,1014.111877,Fall
Aquarium,January,1,1/8/19,11:58,12:03,1,0,12:00,7,0,0,7,1,0,1248.599604,Winter
Aquarium,January,1,1/8/19,12:08,12:21,4,0,12:20,0,0,0,0,1,0,1577.35641,Winter
Aquarium,January,1,1/8/19,12:28,12:42,4,1,12:40,8,6,4,18,1,0,1119.667886,Winter
Aquarium,January,1,1/25/19,10:54,10:57,1,0,11:00,0,0,0,0,1,0,1363.014118,Winter
Aquarium,February,2,2/5/19,11:45,11:51,2,1,11:40,25,2,1,28,1,0,1557.59,Winter
Aquarium,February,2,2/5/19,11:55,12:11,3,0,12:00,24,0,1,25,1,0,1254.71,Winter
Aquarium,February,2,2/5/19,12:24,12:31,2,0,12:20,9,0,0,9,1,0,313.6654222,Winter
Aquarium,March,3,3/5/19,11:01,11:25,5,2,11:00,0,0,0,0,1,0,1279.845563,Winter
Aquarium,March,3,3/5/19,11:38,11:56,6,1,11:40,0,0,0,0,1,0,35.53703499,Winter
Aquarium,March,3,3/21/19,10:20,10:28,2,1,10:20,0,0,0,0,1,0,885.1106625,Spring
Aquarium,April,4,4/4/19,13:51,14:04,2,1,14:00,0,0,0,0,1,2,755.1877703,Spring
Aquarium,April,4,4/4/19,14:29,14:41,1,0,14:40,0,0,0,0,1,0,330.7290514,Spring
Aquarium,April,4,4/16/19,10:24,10:45,5,1,10:40,0,0,0,0,1,0,1069.811591,Spring
Aquarium,April,4,4/16/19,10:50,11:04,5,2,11:00,0,0,0,0,0,0,409.0187727,Spring
Aquarium,May,5,5/9/19,9:38,9:41,2,1,9:40,0,0,0,0,1,0,768.7953135,Spring
Aquarium,May,5,5/9/19,10:17,10:30,1,0,10:20,0,0,0,0,1,2,218.4505311,Spring
Ashley1,December,12,12/19/17,14:37,14:45,1,0,14:40,7,0,0,7,1,0,1300.388112,Fall
Ashley1,December,12,12/19/17,14:29,14:33,1,0,14:20,15,0,0,15,1,0,750.2679726,Fall
Ashley1,January,1,1/11/18,9:33,9:43,4,2,9:40,0,0,0,0,1,0,778.459814,Winter
Ashley1,January,1,1/11/18,10:06,10:15,6,1,10:00,4,0,0,4,1,0,189.4488814,Winter
Ashley1,January,1,1/25/18,10:06,10:20,1,0,10:20,0,0,0,0,1,0,238.0550186,Winter
Ashley1,February,2,2/6/18,14:40,14:45,1,0,14:40,1,0,0,1,1,0,1382.257068,Winter
Ashley1,February,2,2/6/18,14:52,14:58,3,1,15:00,0,0,0,0,1,0,763.6096371,Winter
Ashley1,February,2,2/6/18,15:07,15:11,2,0,15:20,0,0,0,0,0,0,333.9228446,Winter
Ashley1,February,2,2/6/18,15:15,15:22,3,1,15:20,0,0,0,0,0,0,735.2433891,Winter
Ashley1,February,2,2/15/18,12:29,12:33,2,1,12:20,0,0,0,0,0,0,1119.96046,Winter
Ashley1,February,2,2/15/18,12:40,12:49,2,0,12:40,0,0,0,0,1,0,747.461566,Winter
Ashley1,February,2,2/15/18,12:58,13:02,2,0,13:00,0,0,0,0,1,0,471.405101,Winter
Ashley1,March,3,3/6/18,13:44,13:58,2,0,14:00,0,0,0,0,0,2,1383.645674,Winter
Ashley1,March,3,3/6/18,14:07,14:26,5,1,14:20,0,0,0,0,0,0,620.9556961,Winter
Ashley1,March,3,3/27/18,11:21,11:25,2,0,11:20,0,0,0,0,1,0,465.3229201,Spring
Ashley1,March,3,3/27/18,11:50,11:55,1,0,12:00,0,0,0,0,1,0,404.8662978,Spring
Ashley1,April,4,4/19/18,12:58,13:13,5,1,13:00,0,0,0,0,1,2,1986.857331,Spring
Ashley1,April,4,4/19/18,13:25,13:30,2,0,13:20,0,0,0,0,1,2,866.4459714,Spring
Ashley1,April,4,4/19/18,13:41,13:45,2,0,13:40,0,0,0,0,0,2,899.2147232,Spring
Ashley1,April,4,4/26/18,8:48,8:56,1,0,9:00,0,0,0,0,1,2,-1,Spring
Ashley1,April,4,4/26/18,9:07,9:17,3,1,9:20,0,0,0,0,1,2,828.208726,Spring
Ashley1,May,5,5/8/18,12:43,12:48,1,0,12:40,0,0,0,0,1,2,235.442626,Spring
Ashley1,June,6,6/7/18,15:04,15:09,4,2,15:00,0,0,0,0,1,2,1074.192464,Spring
Ashley1,July,7,7/3/18,13:17,13:19,1,0,13:20,0,0,0,0,1,2,1367.884751,Summer
Ashley1,August,8,8/7/18,9:15,9:22,1,0,9:20,0,0,0,0,1,2,1847.423879,Summer
Ashley1,August,8,8/7/18,9:38,9:44,1,0,9:40,1,0,0,1,0,2,681.4700661,Summer
Ashley1,August,8,8/21/18,9:43,9:59,3,0,10:00,0,0,0,0,1,0,447.6898744,Summer
Ashley1,September,9,9/19/18,9:31,9:38,1,0,9:20,17,0,0,17,1,0,1216.273069,Summer
Ashley1,September,9,9/19/18,9:40,9:52,3,1,9:40,7,0,6,13,1,0,1168.386186,Summer
Ashley1,September,9,9/19/18,9:55,10:08,2,0,10:00,2,0,0,2,1,0,926.0188045,Summer
Ashley1,September,9,9/19/18,10:18,10:28,4,1,10:20,20,0,0,20,1,0,624.1138984,Summer
Ashley1,September,9,9/26/18,11:45,12:15,10,2,12:00,0,0,0,0,1,2,1709.480769,Fall
Ashley1,September,9,9/26/18,12:23,12:28,1,0,12:20,2,0,0,2,1,2,761.0205445,Fall
Ashley1,October,10,10/3/18,11:38,11:59,8,1,12:00,0,0,0,0,1,1,811.4067625,Fall
Ashley1,October,10,10/3/18,12:09,12:11,2,1,12:20,0,0,0,0,0,0,543.8158624,Fall
Ashley1,October,10,10/31/18,13:03,13:20,3,1,13:20,0,0,0,0,1,0,498.0908351,Fall
Ashley1,November,11,11/28/18,9:51,10:05,2,0,10:00,0,0,0,0,1,0,166.6197829,Fall
Ashley1,November,11,11/28/18,10:14,10:18,1,0,10:20,0,0,0,0,0,0,463.5719219,Fall
Ashley1,December,12,12/7/18,14:11,14:15,1,0,14:20,0,0,0,0,1,0,612.4850973,Fall
Ashley1,December,12,12/7/18,14:40,14:43,1,0,14:40,3,0,0,3,1,0,163.5476834,Fall
Ashley1,December,12,12/7/18,14:50,,7,2,15:00,0,0,0,0,1,0,718.3517192,Fall
Ashley1,December,12,12/12/18,15:02,15:20,8,2,15:20,0,0,0,0,1,0,154.0056447,Fall
Ashley1,January,1,1/8/19,9:53,10:22,3,1,10:00,0,0,0,0,0,0,945.1055356,Winter
Ashley1,January,1,1/25/19,8:29,,4,0,8:20,5,0,0,5,1,0,12.01548171,Winter
Ashley1,February,2,2/5/19,12:45,12:51,2,1,12:40,0,0,0,0,0,0,1598.60689,Winter
Ashley1,February,2,2/5/19,13:01,13:04,2,1,13:00,0,0,0,0,1,0,932.345164,Winter
Ashley1,February,2,2/5/19,13:29,13:39,2,1,13:40,4,0,1,5,1,0,201.3369558,Winter
Ashley1,March,3,3/5/19,8:47,9:00,2,1,9:00,0,0,0,0,1,0,59.3256998,Winter
Ashley1,March,3,3/5/19,9:25,9:28,1,0,9:20,0,0,0,0,1,0,538.1770331,Winter
Ashley1,April,4,4/4/19,10:25,10:38,3,0,10:40,0,0,0,0,0,1,1085.198771,Spring
Ashley1,April,4,4/4/19,10:48,10:56,3,0,10:40,0,0,0,0,1,2,447.6788272,Spring
Ashley1,April,4,4/4/19,11:02,11:10,2,1,11:00,0,0,0,0,0,0,10.04043632,Spring
Ashley1,April,4,4/16/19,13:14,13:17,2,0,13:20,0,0,0,0,1,2,463.6469788,Spring
Ashley1,April,4,4/16/19,13:32,13:36,1,0,13:40,0,0,0,0,0,2,264.2669868,Spring
Ashley1,May,5,5/9/19,14:17,,5,1,14:20,0,0,0,0,1,2,803.7363305,Spring
Ashley1,May,5,5/9/19,14:53,15:03,2,0,15:00,0,0,0,0,0,2,1097.060854,Spring
Ashley1,May,5,5/23/19,13:47,13:59,2,1,14:00,0,0,0,0,1,2,798.9384335,Spring
Ashley1,May,5,5/23/19,14:17,14:32,6,1,14:20,7,0,0,7,1,2,359.7128677,Spring
Confluence,December,12,12/19/17,10:19,10:28,2,1,10:20,6,0,0,6,1,0,1044.415319,Fall
Confluence,December,12,12/19/17,10:33,10:37,2,1,10:40,5,0,0,5,1,0,1028.693976,Fall
Confluence,December,12,12/19/17,10:43,10:54,3,0,10:40,5,0,0,5,1,0,1234.172804,Fall
Confluence,December,12,12/19/17,10:55,11:07,1,0,11:00,0,0,0,0,1,0,-1,Fall
Confluence,January,1,1/11/18,11:45,11:48,3,1,11:40,0,0,5,5,1,0,1343.049364,Winter
Confluence,January,1,1/11/18,12:10,12:19,6,2,12:20,3,0,5,8,1,0,848.3620073,Winter
Confluence,January,1,1/11/18,12:26,12:33,4,0,12:00,0,0,7,7,1,0,930.4344676,Winter
Confluence,January,1,1/25/18,11:36,11:44,1,0,11:40,0,0,17,17,1,0,1107.772174,Winter
Confluence,January,1,1/25/18,12:02,12:17,7,0,12:00,0,0,16,16,1,0,-1,Winter
Confluence,February,2,2/6/18,11:39,11:47,2,1,11:40,0,0,0,0,1,0,1705.882984,Winter
Confluence,February,2,2/6/18,12:04,12:08,2,0,12:00,0,0,0,0,1,0,311.1180453,Winter
Confluence,February,2,2/6/18,12:12,12:21,2,0,12:20,1,0,0,1,1,0,379.0696855,Winter
Confluence,February,2,2/15/18,10:17,10:21,2,0,10:20,0,0,0,0,1,0,1185.530621,Winter
Confluence,February,2,2/15/18,10:30,10:49,5,2,10:40,0,0,0,0,1,0,1302.416522,Winter
Confluence,February,2,2/15/18,10:55,11:02,3,0,11:00,4,1,4,9,1,0,630.6167062,Winter
Confluence,March,3,3/6/18,10:32,10:35,2,1,10:40,0,0,4,4,1,0,986.3233415,Winter
Confluence,March,3,3/6/18,10:40,10:48,2,0,10:40,0,0,4,4,1,0,517.1770926,Winter
